"","latitude","longitude","WordCount","English","Common","Tagalog","Bikol","Cebuano","Hiligaynon","Ilocano","Kapampangan","Pangasinense","Waray","Zam","Spanish"
"20","""20.45164941""","""121.9671742""",7,1,0,0,3,0,0,0,0,0,0,0,0
"77","""20.45164941""","""121.9671742""",7,1,0,0,3,0,0,0,0,0,0,0,0
"106","""20.45164941""","""121.9671742""",7,1,0,0,3,0,0,0,0,0,0,0,0
"48670","""20.45164941""","""121.9671742""",7,1,0,0,3,0,0,0,0,0,0,0,0
"94831","""8.19183664""","""124.17909375""",13,8,2,0,3,0,0,0,0,0,0,0,0
"94857","""8.19183664""","""124.17909375""",13,8,2,0,3,0,0,0,0,0,0,0,0
"112037","""17.6457346""","""121.7445842""",8,2,0,0,4,0,0,0,0,0,0,0,0
"112168","""17.6457346""","""121.7445842""",8,2,0,0,4,0,0,0,0,0,0,0,0
"133186","""13.3553527""","""123.3656383""",18,3,8,0,3,0,0,1,0,0,0,0,1
"147867","""9.7346661""","""118.7355922""",7,1,0,0,4,0,0,0,0,0,1,0,0
"148004","""9.7346661""","""118.7355922""",7,1,0,0,4,0,0,0,0,0,1,0,0
"148734","""9.7346661""","""118.7355922""",7,1,0,0,4,0,0,0,0,0,1,0,0
"191091","""13.6571994""","""123.2049712""",18,0,13,0,3,0,0,0,0,0,0,0,0
"23283","""11.1843763""","""123.9449143""",10,1,5,0,0,3,0,0,0,0,0,0,0
"23908","""11.1843763""","""123.9449143""",10,1,5,0,0,3,0,0,0,0,0,0,0
"24098","""11.1843763""","""123.9449143""",10,1,5,0,0,3,0,0,0,0,0,0,0
"26514","""10.3855353""","""123.9181348""",20,4,10,0,0,3,0,0,0,0,0,0,0
"28934","""9.30972424""","""123.30284592""",8,0,3,0,0,3,0,0,0,0,0,0,0
"29131","""9.30972424""","""123.30284592""",8,0,3,0,0,3,0,0,0,0,0,0,0
"30024","""9.30972424""","""123.30284592""",8,0,3,0,0,3,0,0,0,0,0,0,0
"30200","""9.30972424""","""123.30284592""",8,0,3,0,0,3,0,0,0,0,0,0,0
"30371","""9.30972424""","""123.30284592""",8,0,3,0,0,3,0,0,0,0,0,0,0
"32288","""8.5818366""","""123.3387136""",15,4,6,0,0,3,0,0,0,0,0,0,0
